set,element,weight
ENSG00000155229,ENSG00000007923,0.8100761845878697
ENSG00000155229,ENSG00000154839,0.8065171543126364
ENSG00000155229,ENSG00000285752,0.8037162012895593
ENSG00000155229,ENSG00000196466,0.8077042438507659
ENSG00000155229,ENSG00000172936,0.8137350755053379
ENSG00000155229,ENSG00000072274,0.8077157455791963
ENSG00000155229,ENSG00000280186,0.8146214139881179
ENSG00000155229,ENSG00000100151,0.8034780866625977
ENSG00000155229,ENSG00000135049,0.8042840847178818
ENSG00000155229,ENSG00000172456,0.8099840748215182
ENSG00000155229,ENSG00000143971,0.8154735790732115
ENSG00000155229,ENSG00000109919,0.8120084446937011
ENSG00000155229,ENSG00000209082,0.8114704456309804
ENSG00000155229,ENSG00000168404,0.8125651198162656
ENSG00000155229,ENSG00000196730,0.8054019984438047
ENSG00000155229,ENSG00000160959,0.8066194839076143
ENSG00000155229,ENSG00000266490,0.8115346854480139
ENSG00000155229,ENSG00000262902,0.8062763397406233
ENSG00000155229,ENSG00000188002,0.8027515920333409
ENSG00000155229,ENSG00000129226,0.8074588236510286
ENSG00000155229,ENSG00000151466,0.8109716223046554
ENSG00000155229,ENSG00000171817,0.8087329777484865
ENSG00000155229,ENSG00000028277,0.8093585966151641
ENSG00000155229,ENSG00000244124,0.8111667841605533
ENSG00000028277,ENSG00000244124,0.8054957231115508
ENSG00000155229,ENSG00000236095,0.8146803651358403
ENSG00000028277,ENSG00000236095,0.8094008496207947
ENSG00000155229,ENSG00000105202,0.8081828370815597
ENSG00000028277,ENSG00000105202,0.8062718398615148
ENSG00000155229,ENSG00000157379,0.809504478719224
ENSG00000028277,ENSG00000157379,0.8075013626888422
ENSG00000155229,ENSG00000228474,0.8139625251861318
ENSG00000028277,ENSG00000228474,0.8102300192978698
ENSG00000155229,ENSG00000116521,0.8084471501092063
ENSG00000028277,ENSG00000116521,0.804113922748295
ENSG00000114416,ENSG00000116521,0.807934029091622
ENSG00000155229,ENSG00000125779,0.8102088207919022
ENSG00000028277,ENSG00000125779,0.8123659137008955
ENSG00000155229,ENSG00000144554,0.808990291073847
ENSG00000028277,ENSG00000144554,0.8072892660197409
ENSG00000155229,ENSG00000125450,0.8115602590020645
ENSG00000028277,ENSG00000125450,0.8114990254753595
ENSG00000155229,ENSG00000100077,0.8063032069621057
ENSG00000155229,ENSG00000185215,0.8051791323965285
ENSG00000028277,ENSG00000185215,0.8050665443562899
ENSG00000155229,ENSG00000149177,0.8094438308147133
